record_id,timestamp,equipment_id,plant_zone,process_type,material_batch_id,ambient_temperature_c,ambient_humidity_pct,dsc_heat_flow_mw,sample_temperature_c,reference_temperature_c,thermal_gradient_c,heating_rate_c_min,cooling_rate_c_min,infrared_mean_temp_c,infrared_max_temp_c,thermal_hotspot_area_pct,phase_transition_onset_c,phase_transition_peak_c,transition_enthalpy_j_g,heat_dissipation_rate_w,sensor_voltage_v,sensor_current_ma,vibration_level_mm_s,mqtt_latency_ms,packet_loss_pct,edge_cpu_usage_pct,rolling_noise_index,anomaly_score,remaining_useful_life_h,fault_type,fault_state,maintenance_required
876,2025-01-04 00:55:00,CAL-030,Polymer-Unit,thermal_manufacturing,BATCH-3838,30.44,55.07,146.59,213.33,208.45,4.88,16.28,5.18,219.89,240.26,17.79,160.02,179.67,72.19,49.71,3.271,62.48,2.562,84.97,4.0,66.03,0.388,0.416,550.7,minor_phase_transition_shift,Warning,1
877,2025-01-04 01:00:00,CAL-026,Battery-Lab,thermal_manufacturing,BATCH-9827,27.75,61.33,104.12,210.34,204.43,5.91,10.53,3.91,211.47,216.88,15.23,162.11,179.42,93.48,75.32,3.303,68.75,2.473,53.67,1.79,59.28,0.232,0.338,880.4,none,Normal,0
878,2025-01-04 01:05:00,CAL-006,Materials-QC,thermal_manufacturing,BATCH-7114,28.36,65.67,109.63,184.01,179.66,4.35,7.14,6.17,190.32,202.24,11.93,165.93,186.01,127.85,59.73,3.279,44.59,1.997,55.52,2.3,52.31,0.084,0.258,768.7,none,Normal,0
879,2025-01-04 01:10:00,CAL-017,Polymer-Unit,energy_storage_testing,BATCH-5501,28.5,48.99,160.36,103.85,95.0,8.85,16.62,2.25,114.03,169.25,58.84,62.91,85.44,214.95,23.67,3.197,78.66,4.445,113.1,6.8,75.09,0.472,0.79,86.0,compound_thermal_instability,Critical,1
880,2025-01-04 01:15:00,CAL-023,Polymer-Unit,chemical_processing,BATCH-6516,32.9,40.73,118.23,137.88,133.07,4.81,8.43,4.94,146.15,159.17,6.5,106.43,120.99,149.08,60.06,3.257,49.01,0.455,41.3,3.91,61.12,0.176,0.196,899.0,none,Normal,0
881,2025-01-04 01:20:00,CAL-030,Battery-Lab,material_characterization,BATCH-1272,24.94,58.69,111.96,107.1,104.64,2.46,10.8,6.05,106.53,122.35,17.8,77.33,91.71,111.77,53.35,3.29,58.59,1.244,57.24,2.69,51.08,0.291,0.289,823.6,none,Normal,0
882,2025-01-04 01:25:00,CAL-028,Thermal-Manufacturing,polymer_curing,BATCH-8009,26.75,40.65,128.13,164.88,160.58,4.3,13.91,5.67,167.06,188.44,17.7,127.65,149.53,141.33,45.89,3.266,78.81,3.286,83.3,4.49,63.4,0.263,0.417,352.6,reduced_heat_dissipation,Warning,1
883,2025-01-04 01:30:00,CAL-003,Materials-QC,energy_storage_testing,BATCH-1025,31.18,67.26,113.52,96.68,92.55,4.13,13.02,5.02,103.69,128.39,32.91,64.97,81.87,132.82,58.67,3.237,74.1,2.909,88.25,2.67,53.53,0.302,0.456,309.7,reduced_heat_dissipation,Warning,1
884,2025-01-04 01:35:00,CAL-005,Reactor-Line-B,energy_storage_testing,BATCH-7074,26.65,35.8,93.63,82.86,78.93,3.93,9.44,6.13,83.58,97.61,4.86,60.37,69.84,100.89,74.07,3.268,55.9,1.02,45.73,1.72,33.22,0.047,0.229,805.9,none,Normal,0
885,2025-01-04 01:40:00,CAL-027,Polymer-Unit,material_characterization,BATCH-9123,28.64,47.03,200.84,160.73,153.21,7.52,16.61,2.74,171.93,213.38,18.81,87.1,106.38,237.15,31.97,3.171,82.34,3.964,102.06,6.76,80.01,0.548,0.689,20.5,heat_dissipation_failure,Critical,1
886,2025-01-04 01:45:00,CAL-020,Polymer-Unit,material_characterization,BATCH-4272,27.24,50.56,81.76,83.86,82.45,1.41,7.78,5.69,90.72,101.18,0.92,76.09,91.37,81.15,59.5,3.326,51.7,1.232,38.01,0,22.86,0.066,0.077,1048.7,none,Normal,0
887,2025-01-04 01:50:00,CAL-012,Reactor-Line-B,material_characterization,BATCH-3953,31.95,54.62,254.6,157.07,148.14,8.93,16.03,3.3,166.11,183.29,52.5,81.65,104.63,195.31,38.08,3.172,98.36,3.802,88.97,8.14,80.62,0.489,0.685,1,phase_transition_irregularity,Critical,1
888,2025-01-04 01:55:00,CAL-011,Reactor-Line-A,chemical_processing,BATCH-9972,26.64,38.83,130.58,131.76,131.15,0.61,10.07,5.43,135.47,144.81,12.14,104.2,116.69,72.43,48.54,3.27,53.83,2.324,47.88,1.77,43.17,0.107,0.176,847.0,none,Normal,0
889,2025-01-04 02:00:00,CAL-023,Materials-QC,chemical_processing,BATCH-7109,31.1,52.1,173.81,153.89,148.75,5.14,13.65,4.2,155.07,184.1,23.23,103.69,117.68,165.5,45.39,3.232,72.46,2.16,56.6,1.35,65.95,0.286,0.423,736.1,reduced_heat_dissipation,Warning,1
890,2025-01-04 02:05:00,CAL-018,Polymer-Unit,polymer_curing,BATCH-1528,29.03,54.47,94.13,140.29,138.36,1.93,6.09,6.19,141.78,156.78,5.83,124.98,139.43,93.22,62.73,3.276,61.23,1.128,48.69,0.73,42.78,0.015,0.138,898.8,none,Normal,0
891,2025-01-04 02:10:00,CAL-012,Reactor-Line-A,thermal_manufacturing,BATCH-7656,29.41,45.35,126.17,195.61,191.52,4.09,12.42,4.52,199.76,222.95,22.33,165.83,187.24,143.56,58.59,3.26,55.03,1.995,70.95,1.06,50.03,0.137,0.297,598.8,none,Normal,0
892,2025-01-04 02:15:00,CAL-011,Materials-QC,thermal_manufacturing,BATCH-1948,28.71,72.47,140.78,189.31,185.27,4.04,11.63,5.42,199.9,213.74,19.04,166.95,183.48,108.16,57.74,3.306,59.71,2.47,74.23,2.44,47.48,0.263,0.373,510.5,incipient_overheating,Warning,1
893,2025-01-04 02:20:00,CAL-007,Materials-QC,chemical_processing,BATCH-5230,26.43,31.32,157.9,146.67,139.46,7.21,13.28,4.1,154.15,187.5,0.22,107.57,119.42,109.94,53.41,3.286,61.46,1.873,65.74,3.47,57.14,0.235,0.368,619.3,minor_phase_transition_shift,Warning,1
894,2025-01-04 02:25:00,CAL-021,Battery-Lab,material_characterization,BATCH-4207,30.87,56.16,148.47,131.83,124.97,6.86,12.51,4.4,138.48,165.5,80.18,84.63,104.41,105.3,34.17,3.22,67.62,4.194,83.52,3.18,66.32,0.466,0.62,554.3,reduced_heat_dissipation,Warning,1
895,2025-01-04 02:30:00,CAL-004,Materials-QC,energy_storage_testing,BATCH-2610,29.62,43.83,119.08,86.09,81.92,4.17,11.51,3.96,87.04,110.93,20.31,62.35,80.55,75.26,69.97,3.267,53.23,2.643,63.77,3.35,41.35,0.167,0.38,688.5,none,Normal,0
896,2025-01-04 02:35:00,CAL-024,Reactor-Line-A,polymer_curing,BATCH-9774,26.78,56.07,134.66,148.92,143.18,5.74,8.89,6.38,155.41,182.76,18.76,120.14,133.87,107.7,50.1,3.268,43.64,1.708,51.03,0.45,61.0,0.189,0.377,861.8,none,Normal,0
897,2025-01-04 02:40:00,CAL-021,Thermal-Manufacturing,material_characterization,BATCH-9065,26.65,48.5,109.51,98.02,95.19,2.83,9.15,4.0,101.66,104.2,2.55,77.02,87.21,86.41,79.85,3.326,52.23,1.104,45.55,2.49,34.88,0,0.215,1039.8,none,Normal,0
898,2025-01-04 02:45:00,CAL-001,Thermal-Manufacturing,energy_storage_testing,BATCH-9454,25.22,61.69,153.46,88.8,83.79,5.01,10.54,5.42,93.94,97.25,17.96,56.91,74.72,91.14,86.03,3.266,61.82,1.834,54.74,2.63,37.54,0.18,0.213,747.4,none,Normal,0
899,2025-01-04 02:50:00,CAL-023,Battery-Lab,energy_storage_testing,BATCH-1577,25.98,45.58,83.47,82.1,80.41,1.69,8.37,6.62,83.59,99.67,4.84,55.55,62.71,56.3,56.5,3.315,52.11,1.562,43.52,3.11,59.28,0.136,0.203,898.8,none,Normal,0
900,2025-01-04 02:55:00,CAL-024,Reactor-Line-B,thermal_manufacturing,BATCH-7261,27.75,53.8,66.91,178.49,176.04,2.45,10.91,6.38,184.72,196.31,7.45,163.97,176.56,67.75,80.77,3.29,53.47,0.981,44.03,1.81,43.62,0.067,0.214,953.0,none,Normal,0
901,2025-01-04 03:00:00,CAL-004,Battery-Lab,polymer_curing,BATCH-1782,30.36,60.37,178.83,171.09,163.47,7.62,13.59,2.53,174.92,205.76,45.41,124.93,143.57,194.63,43.6,3.257,66.36,2.918,99.33,5.54,60.41,0.418,0.623,173.3,compound_thermal_instability,Critical,1
902,2025-01-04 03:05:00,CAL-006,Battery-Lab,thermal_manufacturing,BATCH-4040,25.72,49.4,122.62,177.21,172.79,4.42,11.95,5.63,182.97,212.12,11.89,164.04,178.0,105.01,66.8,3.252,66.15,1.747,50.08,2.97,49.2,0.266,0.329,596.1,minor_phase_transition_shift,Warning,1
903,2025-01-04 03:10:00,CAL-009,Thermal-Manufacturing,material_characterization,BATCH-6332,30.19,57.48,139.97,123.98,115.64,8.34,14.34,4.75,127.26,138.32,8.75,78.84,93.36,88.73,51.22,3.238,78.91,3.529,77.6,4.82,57.56,0.389,0.356,439.6,minor_phase_transition_shift,Warning,1
904,2025-01-04 03:15:00,CAL-004,Thermal-Manufacturing,chemical_processing,BATCH-9077,28.11,49.87,93.55,132.23,129.6,2.63,7.38,6.81,134.49,148.62,2.27,104.71,111.62,105.85,84.54,3.293,45.08,0.96,43.45,0,49.1,0.133,0.155,743.1,none,Normal,0
905,2025-01-04 03:20:00,CAL-003,Thermal-Manufacturing,material_characterization,BATCH-8788,29.68,60.63,137.97,112.49,110.59,1.9,14.7,3.97,115.41,134.15,20.96,75.67,88.39,71.41,63.47,3.315,55.93,3.261,44.83,2.69,68.9,0.251,0.399,806.6,reduced_heat_dissipation,Warning,1
906,2025-01-04 03:25:00,CAL-011,Reactor-Line-B,polymer_curing,BATCH-4965,27.92,33.16,120.64,166.85,166.4,0.45,9.98,5.91,172.99,185.78,1.89,120.33,141.61,113.27,54.89,3.276,54.78,0.207,52.85,1.87,58.65,0.255,0.148,642.8,none,Normal,0
907,2025-01-04 03:30:00,CAL-023,Battery-Lab,thermal_manufacturing,BATCH-2031,26.67,37.27,95.44,184.12,179.64,4.48,8.13,5.69,185.08,218.43,17.16,168.57,178.03,131.15,61.41,3.305,45.85,1.185,41.89,3.0,40.07,0.05,0.375,749.1,none,Normal,0
908,2025-01-04 03:35:00,CAL-006,Polymer-Unit,energy_storage_testing,BATCH-7828,27.57,45.99,119.63,94.91,92.28,2.63,9.28,5.82,94.79,103.97,22.52,53.77,73.71,123.44,50.46,3.257,61.5,2.2,48.47,2.73,61.37,0.231,0.281,643.6,none,Normal,0
909,2025-01-04 03:40:00,CAL-026,Battery-Lab,thermal_manufacturing,BATCH-3706,26.08,54.37,105.41,179.46,176.69,2.77,8.82,5.57,180.41,190.7,9.89,160.59,175.95,99.89,52.66,3.286,52.93,1.148,66.39,1.75,63.22,0.193,0.261,812.3,none,Normal,0
910,2025-01-04 03:45:00,CAL-018,Polymer-Unit,polymer_curing,BATCH-2668,30.9,32.9,73.98,138.15,135.89,2.26,8.99,7.0,143.91,152.07,16.5,121.22,134.26,96.53,70.29,3.327,30.87,1.45,44.14,0.95,57.23,0.105,0.121,898.9,none,Normal,0
911,2025-01-04 03:50:00,CAL-025,Battery-Lab,thermal_manufacturing,BATCH-5306,28.36,46.33,81.69,177.25,175.47,1.78,9.59,6.82,178.78,187.43,6.99,161.13,181.14,66.42,65.41,3.277,49.14,0.498,30.48,0.04,38.01,0.092,0.115,913.4,none,Normal,0
912,2025-01-04 03:55:00,CAL-018,Reactor-Line-A,thermal_manufacturing,BATCH-6636,29.05,55.21,107.0,181.43,180.41,1.02,8.94,5.8,187.82,197.36,18.35,160.79,176.4,101.96,68.27,3.3,50.89,0.601,43.55,0.86,45.48,0.219,0.175,956.1,none,Normal,0
913,2025-01-04 04:00:00,CAL-015,Thermal-Manufacturing,chemical_processing,BATCH-5169,27.77,39.69,160.28,132.8,131.1,1.7,14.1,4.14,141.22,180.09,29.21,102.5,120.42,114.85,44.39,3.256,64.66,2.221,66.21,5.01,60.3,0.275,0.502,607.8,sensor_drift,Warning,1
914,2025-01-04 04:05:00,CAL-015,Thermal-Manufacturing,chemical_processing,BATCH-7278,24.8,51.64,107.28,132.85,131.49,1.36,11.34,6.39,136.22,155.4,16.96,102.43,117.26,74.72,65.44,3.256,43.9,1.378,45.27,1.53,46.99,0.129,0.271,839.1,none,Normal,0
915,2025-01-04 04:10:00,CAL-008,Battery-Lab,material_characterization,BATCH-9637,28.07,51.6,93.66,90.81,89.12,1.69,3.51,6.07,95.66,106.77,5.31,79.47,91.74,96.01,74.43,3.31,42.7,0.063,18.49,0.85,50.54,0.066,0.074,846.3,none,Normal,0
916,2025-01-04 04:15:00,CAL-019,Polymer-Unit,polymer_curing,BATCH-2024,29.78,60.73,177.09,193.54,184.28,9.26,13.68,1.78,200.73,228.65,25.5,129.82,153.23,108.59,52.2,3.269,58.2,3.708,78.71,7.86,66.2,0.366,0.637,35.3,severe_overheating,Critical,1
917,2025-01-04 04:20:00,CAL-009,Thermal-Manufacturing,chemical_processing,BATCH-3318,26.38,59.59,176.99,153.09,146.5,6.59,15.16,4.24,159.0,184.8,26.36,109.41,124.94,148.84,50.21,3.194,69.51,1.458,70.66,5.8,51.87,0.384,0.469,386.7,sensor_drift,Warning,1
918,2025-01-04 04:25:00,CAL-009,Thermal-Manufacturing,material_characterization,BATCH-7185,27.88,46.81,270.47,152.1,144.55,7.55,17.7,3.57,161.88,186.67,62.8,77.18,98.92,184.74,42.64,3.2,88.41,4.174,105.68,7.08,79.0,0.384,0.783,216.6,phase_transition_irregularity,Critical,1
919,2025-01-04 04:30:00,CAL-015,Thermal-Manufacturing,polymer_curing,BATCH-9404,27.39,43.87,84.98,138.41,136.39,2.02,8.95,6.3,140.86,147.85,1.57,122.28,137.0,85.74,72.36,3.304,49.48,0.873,49.66,1.23,52.03,0.136,0.076,911.6,none,Normal,0
920,2025-01-04 04:35:00,CAL-002,Thermal-Manufacturing,thermal_manufacturing,BATCH-1173,34.12,37.57,233.47,233.28,225.09,8.19,18.46,4.39,245.58,285.11,15.3,167.99,189.47,140.46,42.21,3.22,77.55,5.468,87.89,6.27,71.26,0.433,0.663,232.8,compound_thermal_instability,Critical,1
921,2025-01-04 04:40:00,CAL-002,Reactor-Line-B,energy_storage_testing,BATCH-7342,28.56,62.88,162.21,95.72,88.27,7.45,13.77,4.04,97.67,126.72,43.8,55.3,78.24,139.23,39.83,3.291,63.91,2.973,62.25,4.26,65.52,0.395,0.472,416.9,sensor_drift,Warning,1
922,2025-01-04 04:45:00,CAL-022,Reactor-Line-A,chemical_processing,BATCH-2132,25.63,63.25,159.84,168.6,162.79,5.81,14.41,4.34,177.65,220.82,26.26,104.17,121.59,180.45,52.86,3.203,60.04,2.853,70.95,2.93,65.58,0.319,0.544,544.7,incipient_overheating,Warning,1
923,2025-01-04 04:50:00,CAL-023,Materials-QC,polymer_curing,BATCH-7010,31.68,40.22,139.17,164.47,156.77,7.7,13.96,3.66,170.42,190.76,12.81,127.67,147.2,62.31,58.93,3.244,66.25,2.203,93.75,3.3,63.42,0.27,0.372,563.5,minor_phase_transition_shift,Warning,1
924,2025-01-04 04:55:00,CAL-003,Battery-Lab,chemical_processing,BATCH-2448,27.69,55.17,133.32,136.97,136.35,0.62,7.84,4.94,134.14,140.95,5.01,107.27,120.13,84.37,69.16,3.278,49.8,1.343,59.47,1.89,45.09,0.155,0.135,811.4,none,Normal,0
925,2025-01-04 05:00:00,CAL-009,Thermal-Manufacturing,polymer_curing,BATCH-1078,27.79,66.87,110.39,153.84,151.99,1.85,10.23,3.92,159.38,184.48,22.32,124.0,136.43,65.94,63.95,3.274,55.34,1.78,66.69,3.98,47.93,0.184,0.314,677.7,none,Normal,0
926,2025-01-04 05:05:00,CAL-022,Reactor-Line-B,chemical_processing,BATCH-8740,24.9,57.28,142.75,145.28,143.5,1.78,11.01,4.13,150.0,160.47,43.05,102.75,115.87,144.38,57.24,3.29,55.66,1.988,54.15,4.83,40.08,0.258,0.409,576.8,minor_phase_transition_shift,Warning,1
927,2025-01-04 05:10:00,CAL-012,Polymer-Unit,chemical_processing,BATCH-6585,24.6,56.84,144.53,117.77,115.04,2.73,9.09,4.55,125.99,148.79,16.19,111.27,130.06,86.01,53.81,3.284,55.2,1.958,55.65,2.66,58.78,0.175,0.326,698.6,incipient_overheating,Warning,1
928,2025-01-04 05:15:00,CAL-007,Battery-Lab,thermal_manufacturing,BATCH-6535,30.64,57.7,125.92,194.27,188.73,5.54,12.66,4.85,201.75,210.7,24.4,164.01,178.77,62.68,68.2,3.325,49.24,1.045,69.8,3.08,65.07,0.161,0.245,716.3,none,Normal,0
929,2025-01-04 05:20:00,CAL-028,Polymer-Unit,polymer_curing,BATCH-8474,30.3,53.86,87.72,130.35,129.02,1.33,10.1,4.33,133.32,153.03,1.38,123.68,136.5,87.22,64.77,3.268,50.96,0.984,49.98,0.78,43.11,0.119,0.157,713.3,none,Normal,0
930,2025-01-04 05:25:00,CAL-030,Reactor-Line-B,material_characterization,BATCH-4304,26.06,56.02,84.64,95.64,93.21,2.43,7.48,5.44,97.98,109.15,0,80.09,98.52,86.99,80.81,3.282,56.48,0.796,41.76,0.91,35.13,0.048,0.13,998.5,none,Normal,0
931,2025-01-04 05:30:00,CAL-029,Polymer-Unit,material_characterization,BATCH-3303,25.52,50.0,94.88,95.73,94.17,1.56,4.78,5.8,101.62,112.79,0.76,72.05,83.34,72.79,74.57,3.338,44.02,0.805,27.83,1.44,43.25,0.061,0.136,1034.4,none,Normal,0
932,2025-01-04 05:35:00,CAL-011,Reactor-Line-B,polymer_curing,BATCH-7720,31.23,43.86,142.41,171.82,169.82,2.0,14.39,4.35,175.08,190.92,11.1,127.26,148.96,127.02,61.18,3.252,61.05,2.661,46.15,3.63,74.34,0.344,0.368,509.5,minor_phase_transition_shift,Warning,1
933,2025-01-04 05:40:00,CAL-014,Reactor-Line-B,thermal_manufacturing,BATCH-3158,25.04,49.72,111.24,194.69,192.72,1.97,12.49,7.17,200.31,215.98,2.44,163.39,175.32,98.49,57.32,3.271,45.2,1.102,57.94,1.7,60.41,0.071,0.165,830.2,none,Normal,0
934,2025-01-04 05:45:00,CAL-003,Thermal-Manufacturing,chemical_processing,BATCH-3929,27.36,48.93,102.25,120.26,115.71,4.55,8.62,4.27,127.82,139.31,2.92,102.73,116.91,81.43,66.76,3.325,56.36,1.661,62.88,2.13,44.29,0.181,0.214,843.9,none,Normal,0
935,2025-01-04 05:50:00,CAL-024,Reactor-Line-A,chemical_processing,BATCH-6824,26.17,48.99,123.26,130.46,126.83,3.63,8.7,3.22,134.86,144.12,21.01,108.16,120.36,103.42,75.44,3.228,63.4,1.727,58.03,0.89,46.4,0.163,0.239,819.6,none,Normal,0
936,2025-01-04 05:55:00,CAL-009,Battery-Lab,polymer_curing,BATCH-3515,27.63,62.67,96.77,151.22,150.19,1.03,11.27,6.47,157.04,169.5,7.2,118.91,123.9,87.8,80.65,3.281,52.68,1.194,51.16,1.64,53.75,0.183,0.114,827.7,none,Normal,0
937,2025-01-04 06:00:00,CAL-005,Reactor-Line-B,energy_storage_testing,BATCH-3447,30.83,47.5,157.7,124.22,118.5,5.72,15.2,3.12,132.08,142.36,33.04,67.56,85.9,159.57,37.13,3.247,67.49,3.919,92.75,3.61,58.19,0.484,0.506,256.3,severe_overheating,Critical,1
938,2025-01-04 06:05:00,CAL-023,Reactor-Line-A,material_characterization,BATCH-4006,25.69,56.85,124.61,96.03,92.13,3.9,8.69,4.55,95.55,109.06,18.36,82.38,104.82,79.53,75.25,3.251,55.47,2.793,38.86,2.96,34.11,0.198,0.319,804.0,none,Normal,0
939,2025-01-04 06:10:00,CAL-010,Reactor-Line-B,material_characterization,BATCH-5985,24.56,51.42,127.97,106.22,104.43,1.79,11.88,5.62,103.47,117.58,15.99,77.44,90.31,114.6,83.41,3.338,53.43,1.165,59.97,2.42,47.65,0.117,0.266,826.2,none,Normal,0
940,2025-01-04 06:15:00,CAL-001,Thermal-Manufacturing,chemical_processing,BATCH-5703,27.39,47.26,89.12,113.13,111.92,1.21,9.53,5.24,112.59,108.5,4.99,100.77,112.88,87.53,80.33,3.304,44.14,0.663,40.43,0,40.95,0.201,0.108,936.2,none,Normal,0
941,2025-01-04 06:20:00,CAL-022,Battery-Lab,energy_storage_testing,BATCH-8647,29.61,58.08,132.73,91.45,88.94,2.51,10.1,6.01,95.05,101.44,10.08,61.78,74.24,89.02,60.6,3.255,53.04,2.548,56.01,3.32,51.32,0.21,0.235,600.6,none,Normal,0
942,2025-01-04 06:25:00,CAL-027,Thermal-Manufacturing,material_characterization,BATCH-7836,27.58,58.52,180.02,105.22,97.75,7.47,14.71,3.91,113.95,154.04,48.66,78.31,92.99,149.47,46.33,3.238,68.97,2.965,71.24,4.25,61.36,0.27,0.608,451.4,sensor_drift,Warning,1
943,2025-01-04 06:30:00,CAL-014,Reactor-Line-A,material_characterization,BATCH-5933,27.47,64.29,128.25,99.01,95.19,3.82,8.43,5.24,106.42,125.81,15.5,73.99,85.0,89.33,51.6,3.258,52.74,1.979,30.25,1.7,52.51,0.231,0.264,824.0,none,Normal,0
944,2025-01-04 06:35:00,CAL-011,Reactor-Line-B,thermal_manufacturing,BATCH-4001,28.94,44.33,183.58,204.3,198.28,6.02,13.69,6.09,204.51,230.9,29.01,172.39,191.47,157.79,38.7,3.202,67.45,3.443,78.62,5.21,64.36,0.289,0.545,201.8,minor_phase_transition_shift,Warning,1
945,2025-01-04 06:40:00,CAL-001,Thermal-Manufacturing,thermal_manufacturing,BATCH-9826,26.96,52.41,127.91,189.96,186.24,3.72,9.23,6.67,197.63,207.38,23.41,161.99,176.66,114.92,61.26,3.285,51.6,0.489,39.36,0.86,40.26,0.165,0.239,700.6,none,Normal,0
946,2025-01-04 06:45:00,CAL-010,Battery-Lab,polymer_curing,BATCH-6006,24.97,59.56,102.18,160.3,156.79,3.51,10.13,7.25,167.1,182.98,2.91,122.65,139.91,57.33,63.2,3.22,56.34,1.157,49.75,0,40.73,0.297,0.266,719.9,none,Normal,0
947,2025-01-04 06:50:00,CAL-020,Thermal-Manufacturing,polymer_curing,BATCH-2803,27.53,43.67,82.95,162.61,160.69,1.92,11.51,6.11,169.0,171.96,0,122.42,136.51,91.49,61.88,3.236,56.85,1.86,55.15,0.55,45.49,0.203,0.11,834.0,none,Normal,0
948,2025-01-04 06:55:00,CAL-025,Reactor-Line-A,polymer_curing,BATCH-8140,29.62,60.24,172.6,183.79,177.76,6.03,16.83,2.25,189.23,230.68,46.65,124.93,144.57,96.52,24.53,3.252,64.99,3.911,89.07,5.42,75.31,0.434,0.728,42.1,heat_dissipation_failure,Critical,1
949,2025-01-04 07:00:00,CAL-028,Reactor-Line-A,energy_storage_testing,BATCH-3437,26.51,51.21,115.31,80.09,77.43,2.66,5.89,4.99,80.86,94.58,17.04,54.94,70.75,80.3,52.02,3.332,56.7,1.018,57.11,0,33.11,0.083,0.163,649.1,none,Normal,0
950,2025-01-04 07:05:00,CAL-025,Materials-QC,thermal_manufacturing,BATCH-3626,31.65,59.35,106.15,184.16,181.09,3.07,9.83,4.41,188.04,197.62,0.85,157.08,165.7,88.88,61.9,3.302,45.64,1.291,44.38,2.68,47.78,0,0.163,1053.1,none,Normal,0
951,2025-01-04 07:10:00,CAL-020,Polymer-Unit,thermal_manufacturing,BATCH-7082,30.07,49.03,108.77,185.79,181.96,3.83,9.62,5.75,189.2,193.58,8.84,161.91,171.6,105.51,73.9,3.297,35.26,1.263,47.65,0.17,47.8,0.068,0.115,700.0,none,Normal,0
952,2025-01-04 07:15:00,CAL-008,Reactor-Line-A,thermal_manufacturing,BATCH-1799,33.8,53.32,181.01,216.52,208.61,7.91,12.42,2.85,221.11,269.26,48.87,172.38,194.11,115.56,38.74,3.256,84.64,5.008,96.05,6.22,76.39,0.343,0.851,194.5,phase_transition_irregularity,Critical,1
953,2025-01-04 07:20:00,CAL-016,Thermal-Manufacturing,energy_storage_testing,BATCH-1206,29.4,58.83,137.63,94.79,91.6,3.19,11.72,4.18,103.05,148.37,24.53,58.34,70.33,80.15,52.34,3.279,70.03,1.663,69.84,1.72,53.54,0.223,0.465,648.7,incipient_overheating,Warning,1
954,2025-01-04 07:25:00,CAL-026,Battery-Lab,energy_storage_testing,BATCH-9620,28.98,62.0,124.96,85.92,83.02,2.9,8.14,4.48,89.62,105.91,8.42,53.78,75.48,138.25,52.52,3.262,50.78,1.841,52.26,1.28,40.04,0.102,0.208,865.8,none,Normal,0
955,2025-01-04 07:30:00,CAL-026,Polymer-Unit,energy_storage_testing,BATCH-3380,26.41,58.29,113.62,85.18,82.41,2.77,9.66,5.86,88.02,95.72,13.37,62.75,69.86,104.07,71.93,3.267,44.05,1.152,28.86,2.54,52.53,0.066,0.15,680.5,none,Normal,0
956,2025-01-04 07:35:00,CAL-011,Reactor-Line-A,polymer_curing,BATCH-7595,27.44,56.61,121.47,134.28,130.84,3.44,8.65,5.22,137.31,162.16,20.76,124.08,139.59,72.19,59.2,3.309,44.47,0.965,60.18,0,48.1,0.219,0.299,782.3,none,Normal,0
957,2025-01-04 07:40:00,CAL-009,Thermal-Manufacturing,thermal_manufacturing,BATCH-3444,24.85,59.31,94.94,187.66,183.16,4.5,9.99,7.82,192.82,213.22,0.06,163.63,177.2,109.65,76.9,3.246,43.14,2.027,40.95,1.0,44.03,0.142,0.232,878.6,none,Normal,0
958,2025-01-04 07:45:00,CAL-030,Reactor-Line-A,thermal_manufacturing,BATCH-3033,29.67,53.3,187.38,186.95,182.35,4.6,11.05,2.94,193.38,212.74,11.92,163.99,181.39,218.06,49.44,3.251,76.63,3.883,75.97,4.52,73.25,0.245,0.436,330.5,minor_phase_transition_shift,Warning,1
959,2025-01-04 07:50:00,CAL-011,Reactor-Line-A,energy_storage_testing,BATCH-3565,29.3,41.81,78.4,73.67,70.2,3.47,8.32,5.18,74.89,103.37,9.55,56.17,69.49,66.41,61.67,3.285,45.94,0.889,47.83,1.48,30.51,0.054,0.258,1033.6,none,Normal,0
960,2025-01-04 07:55:00,CAL-015,Battery-Lab,polymer_curing,BATCH-5403,30.96,59.31,146.01,162.7,156.02,6.68,12.65,5.97,162.53,172.02,11.92,126.14,144.4,161.14,51.48,3.223,71.32,2.492,87.08,4.78,53.16,0.31,0.399,528.2,reduced_heat_dissipation,Warning,1
961,2025-01-04 08:00:00,CAL-008,Reactor-Line-B,polymer_curing,BATCH-8387,27.06,42.5,117.11,141.29,134.91,6.38,11.29,5.37,144.49,172.22,15.47,122.14,135.55,105.26,56.01,3.273,57.36,1.933,56.87,2.26,58.38,0.132,0.363,677.3,none,Normal,0
962,2025-01-04 08:05:00,CAL-025,Thermal-Manufacturing,thermal_manufacturing,BATCH-9500,30.02,42.29,99.02,185.93,182.22,3.71,9.67,5.33,195.13,212.81,10.02,162.66,179.61,100.48,83.41,3.268,47.85,0.976,59.93,0.78,52.67,0.041,0.246,800.6,none,Normal,0
963,2025-01-04 08:10:00,CAL-004,Reactor-Line-A,chemical_processing,BATCH-8247,27.02,52.9,116.46,140.64,136.92,3.72,10.81,5.27,145.57,167.14,11.41,105.1,117.08,91.95,70.41,3.261,46.76,1.138,38.91,4.47,47.66,0.144,0.309,743.3,none,Normal,0
964,2025-01-04 08:15:00,CAL-025,Thermal-Manufacturing,chemical_processing,BATCH-4458,27.91,63.15,172.12,128.56,124.47,4.09,11.46,4.35,128.23,134.69,24.99,107.55,128.63,147.91,38.34,3.264,63.62,4.489,71.74,4.87,54.73,0.326,0.45,518.8,incipient_overheating,Warning,1
